"Id","DiffId","ProjId","Language","ProjName","CommitSha","FileName","FileLengthBefore","FileLengthAfter","nDeletes","nInserts","nEdits","EditScript","RunTime1","RunTime2","RunTime3","RunTime4","RunTime5","RunTime6","RunTime7","RunTime8","RunTime9","RunTime10","RunTime"
"4561","19","21","XML","arthas","36a593b43b97d7588c8998d8fdfcd821947c6986","pom.xml","67","67","2","2","4","['@@ -7 +7 @@', '@@ -45 +45 @@']","0.0605901","0.0493564","0.0494827","0.0529562","0.0481121","0.0480019","0.0512492","0.0468446","0.047108","0.0482702","0.0488133"
"4562","20","21","XML","arthas","37f93f0edcef51fd08d7d80bb05d03213205edc0","assembly.xml","41","45","0","4","4","['@@ -26,0 +27,4 @@']","0.0567642","0.0486962","0.0512038","0.0571839","0.0528287","0.0526041","0.0496605","0.0518227","0.0493236","0.0474987","0.0515133"
"4563","21","21","XML","arthas","388854b81cdf58a11b509ba41954fbb2a75f1090","pom.xml","61","66","1","6","7","['@@ -58,0 +59,5 @@', '@@ -61 +66 @@']","0.0607442","0.0524459","0.057547","0.0502851","0.0472209","0.0473535","0.0534068","0.04754","0.0512993","0.0463011","0.0507922"
"4564","22","21","XML","arthas","389b5c90a0af54d808d60b011fe4c6aa6487071b","pom.xml","95","96","0","1","1","['@@ -18,0 +19 @@']","0.0664278","0.0470094","0.0482209","0.0556726","0.0538513","0.0548588","0.0478522","0.0506224","0.058931","0.0486058","0.0522369"
"4565","23","21","XML","arthas","3eb73c7067bb8f7de76a1e11c2aab0eb71b7332f","pom.xml","264","266","5","7","12","['@@ -59,0 +60,2 @@', '@@ -154 +156 @@', '@@ -159 +161 @@', '@@ -164 +166 @@', '@@ -169 +171 @@', '@@ -174 +176 @@']","0.0685823","0.0538355","0.0532765","0.0482784","0.0482463","0.0483825","0.053445","0.0478535","0.0503863","0.0458595","0.0493844"
"4566","24","21","XML","arthas","3fe0a159405b0f53cfb70c25763627ee02c09862","pom.xml","41","54","6","19","25","['@@ -21,5 +20,0 @@', '@@ -27,0 +23 @@', '@@ -28,0 +25,18 @@', '@@ -38 +51,0 @@']","0.0610653","0.0519312","0.0482559","0.0544131","0.0532722","0.0534324","0.0502274","0.0537707","0.0528629","0.047572","0.0530676"
"4567","25","21","XML","arthas","405c310907e006011b5ad65da65d058459b86f0b","pom.xml","194","220","0","26","26","['@@ -146,0 +147,26 @@']","0.0566771","0.0483247","0.0538462","0.0487746","0.0485548","0.0486157","0.0514253","0.0490788","0.0523151","0.0482141","0.0489267"
"4568","26","21","XML","arthas","41936aed83d8fe92ccccf3debfc39adbfd84d2f5","pom.xml","246","246","1","1","2","['@@ -95 +95 @@']","0.0616726","0.0541144","0.0480598","0.0576767","0.0515935","0.0553205","0.0511302","0.052263","0.050063","0.0470094","0.0519282"
"4569","27","21","XML","arthas","42e13cb345b585a677cb979bd7341209fadc76b0","pom.xml","266","277","1","12","13","['@@ -61 +60,0 @@', '@@ -72,0 +72,12 @@']","0.0618562","0.0510572","0.0529533","0.0527868","0.0481329","0.0485942","0.0518316","0.058418","0.0492979","0.0464847","0.0514444"
"4570","28","21","XML","arthas","4335c3129bc8185712f06a88d068208a8216cc00","pom.xml","67","67","1","1","2","['@@ -7 +7 @@']","0.0567252","0.0487393","0.048994","0.0665395","0.0521711","0.0519838","0.0487936","0.0485193","0.0488217","0.0476793","0.0489078"
